Rank,School name,Name in Chinese,Country,AI Course,AI Program (Program names that include AI courses),AI  background Teacher name,Teacher Background Information,Link,,,,,,,,,,,,,,,,,,,,,
14,Massachusetts Institute of Technology (MIT),麻省理工学院,USA,"N/A
(MIT science journalism is great, but it's all labs that
rather than programs that teach students）",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
15,University of Vienna,维也纳大学,Austria,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
16,Columbia University,哥伦比亚大学,USA,"Artificial Intelligence
Analysis of Algorithms
Advanced Software Engineering",M.S. in Journalism & Computer Science,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
17,Northwestern University,西北大学（埃文斯顿）,USA,Human-computer interaction,"Media, Technology, and Society (MTS) ",Jeremy Birnholtz, human-computer interaction issues,N/A,,,,,,,,,,,,,,,,,,,,,
18,"University of California, Los Angeles (UCLA)",加利福尼亚大学洛杉矶分校,USA,"Communication Science；
Computer Models of Communicators；
Computer-Mediated Communication；
Introduction to Data Science；
Artificial Intelligence and New Media；
Artificial Intelligence and Society；",MA in Communication,N/A,N/A,"https://www.ucla.edu/academics/programs-and-majors
https://comm.ucla.edu/undergraduate/courses/",,,,,,,,,,,,,,,,,,,,,
19,Queensland University of Technology (QUT),昆士兰科技大学,Australia,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
20,The Chinese University of Hong Kong (CUHK),香港中文大学,China,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
21,University of Zurich,苏黎世大学,Germany,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
22,Ludwig-Maximilians-Universität München,慕尼黑大学,Germany,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
23,National University of Singapore (NUS),新加坡国立大学,Singapore,"Communications, New Media and Society",Major in Communications and New Media,N/A,N/A,https://www.nus.edu.sg/oam/undergraduate-programmes,,,,,,,,,,,,,,,,,,,,,
24,University of Leeds,利兹大学,UK,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
25,Pennsylvania State University,宾夕法尼亚州立大学,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
